feature,target_corr
incentive_count_residential,0.36133055138190906
relative_humidity,-0.35339229630147645
electricity_price_industrial,0.33612758887525496
daily_solar_radiation,0.3249785641621797
feedin_tariff,0.321659910155334
electricity_price_commercial,0.29398049266463766
housing_unit_median_gross_rent,0.2908744427161577
rebate,0.2801962301078337
incentive_residential_state_level,0.26933492152834493
education_college,0.24648210181728314
heating_fuel_solar,0.24518592142391293
population,0.2358289670050196
frost_days,-0.23038689113388897
housing_unit_median_value,0.2216822959443088
education_bachelor,0.21636725238369037
median_household_income,0.21438079809320298
electricity_consume_residential,-0.20800015952551495
property_tax,0.17850959482840797
mortgage_with_rate,0.1719591964395195
heating_fuel_gas,0.1686663426864852
education_high_school_graduate_rate,-0.16428695689490255
average_household_size,0.1536183065044847
education_professional_school,0.15252129682716398
heating_fuel_solar_rate,0.152038009733637
household_type_family_rate,0.14720734913614597
unemployed,0.14592932663834227
net_metering,0.1382681081828694
cooling_design_temperature,0.13801490092752183
education_doctoral,0.1373684272086112
poverty_family_below_poverty_level_rate,-0.12134217289982484
education_bachelor_rate,0.11186404439652536
occupancy_owner_rate,0.10844536959606944
atmospheric_pressure,-0.10597195677694908
diversity,0.10433254113260665
occupancy_vacant_rate,-0.10237141974593215
transportation_home_rate,0.10231886350794243
health_insurance_public_rate,-0.09960552457839418
occupation_administrative_rate,0.09826441573986547
sales_tax,0.09581841506426086
health_insurance_none_rate,-0.09225203344612988
occupation_manufacturing_rate,-0.08728691476438177
travel_time_average,0.08170958097147524
transportation_motorcycle_rate,0.08075452929590032
heating_fuel_coal_coke_rate,-0.07945231164286502
travel_time_less_than_10_rate,-0.07937785450347454
occupation_finance_rate,0.07864382859497562
gini_index,-0.07744996575045028
education_professional_school_rate,0.07583322005122035
education_college_rate,0.07325343603522536
education_less_than_high_school_rate,-0.07006235053597246
heating_fuel_none,0.06558894183323154
transportation_public_rate,-0.06247775337589788
transportation_walk_rate,-0.061963095971214736
education_doctoral_rate,0.06171567872197482
occupation_information_rate,0.060947287508213564
education_high_school_graduate,0.05865737249550211
occupation_public_rate,0.057641183372713505
heating_fuel_gas_rate,0.056632177095482704
dropout_16_19_inschool_rate,0.055639642820046575
age_25_34_rate,-0.0555221636073611
heating_fuel_other_rate,-0.05375222360229623
travel_time_60_89_rate,0.052813407959271495
population_density,-0.05057409249566218
age_10_14_rate,0.05043641525792019
heating_fuel_electricity,0.048662658717994536
education_less_than_high_school,0.04729043413408894
electricity_consume_total,-0.04500208090339942
transportation_car_alone_rate,0.04494375823655057
travel_time_40_59_rate,0.043517235814955896
age_15_17_rate,0.04303623571510212
occupation_wholesale_rate,0.03737860069747308
total_area,-0.03678030978785627
occupation_transportation_rate,-0.035850175715676766
age_45_54_rate,0.03446075302607958
heating_fuel_electricity_rate,-0.03431439382715348
age_35_44_rate,0.03418233050515865
electricity_consume_commercial,-0.03359534893167656
age_median,0.0334718661951971
heating_fuel_other,-0.032739873397936214
age_5_9_rate,0.027218246922864297
travel_time_30_39_rate,0.026673801566364477
age_18_24_rate,-0.02588765799719851
travel_time_10_19_rate,-0.025657933414872398
age_65_74_rate,0.02561377222947612
employ_rate,0.023754173947509154
occupation_construction_rate,-0.023526803695179344
occupation_education_rate,-0.021175843388097967
occupation_retail_rate,-0.01832598641473012
cooperate_tax,-0.017607505249441963
travel_time_20_29_rate,0.01749658077034742
occupation_agriculture_rate,-0.017266800491962095
water_area,-0.016480681181285015
heating_fuel_fuel_oil_kerosene_rate,-0.015912960182700945
poverty_family_below_poverty_level,-0.015406886405380805
occupation_arts_rate,-0.01284272313530194
age_55_64_rate,-0.012235691008202845
age_75_84_rate,0.00868068968372674
transportation_bicycle_rate,0.005759415863267708
age_more_than_85_rate,0.0036481391793848125
transportation_carpool_rate,-0.003598995538035769
earth_temperature_amplitude,-0.0008311881647704086
wind_speed,-0.0005915855769041695
