feature,pearson_abs,anova_f,mutual_info
incentive_count_residential,0.36133055138190906,9928.818886764995,0.17977846547628973
electricity_price_industrial,0.33612758887525496,8519.240016033184,0.22131497394067412
relative_humidity,0.35339229630147645,7342.040556993877,0.21027737037605188
daily_solar_radiation,0.3249785641621797,7103.171581564425,0.18787721054530326
incentive_residential_state_level,0.26933492152834493,7045.565430633681,0.15995930244616652
housing_unit_median_gross_rent,0.2908744427161577,6457.965839556671,0.10078170489764937
electricity_price_commercial,0.29398049266463766,5906.221239982721,0.2252238519610965
feedin_tariff,0.321659910155334,5434.653780855056,0.08529848198225687
rebate,0.2801962301078337,5325.2148002313315,0.10483601706198042
housing_unit_median_value,0.2216822959443088,4491.134711556038,0.09944288201084683
education_high_school_graduate_rate,0.16428695689490255,4040.5940197300947,0.06037611690604017
education_bachelor,0.21636725238369037,3910.4939523635258,0.06614351208440095
median_household_income,0.21438079809320298,3376.7664288179967,0.05359865818878484
mortgage_with_rate,0.1719591964395195,3177.8802914678863,0.055395395110265255
population,0.2358289670050196,2969.704774670057,0.04611346138730599
frost_days,0.23038689113388897,2963.334614654032,0.16193875091766308
education_bachelor_rate,0.11186404439652536,2486.9291305735237,0.04516075572847433
electricity_consume_residential,0.20800015952551495,2377.0108395851403,0.22248007699952077
sales_tax,0.09581841506426086,2366.105490756384,0.04790616625042432
occupancy_vacant_rate,0.10237141974593215,2331.7831807138296,0.04530450527690233
education_college,0.24648210181728314,2274.6269946062853,0.03444313977354163
property_tax,0.17850959482840797,2266.085119534623,0.17041284507951127
heating_fuel_coal_coke_rate,0.07945231164286502,2256.5000448967885,0.034875254217034524
occupation_administrative_rate,0.09826441573986547,2223.4000789365446,0.04299461205270649
education_professional_school,0.15252129682716398,1936.219997463584,0.047618801484702766
education_doctoral,0.1373684272086112,1735.291079399089,0.04191689328394954
health_insurance_public_rate,0.09960552457839418,1476.8454488535463,0.027534901632799924
occupation_manufacturing_rate,0.08728691476438177,1414.533613244196,0.03185953597695135
diversity,0.10433254113260665,1272.2221676362078,0.031411766077345415
net_metering,0.1382681081828694,1259.5075822284768,0.12192028095180185
heating_fuel_gas,0.1686663426864852,1234.7988841053395,0.028380992339464672
poverty_family_below_poverty_level_rate,0.12134217289982484,1184.1263097004135,0.029408213215917467
atmospheric_pressure,0.10597195677694908,1165.1513465967653,0.13337443090938095
education_professional_school_rate,0.07583322005122035,1155.346734892765,0.029732069041290554
average_household_size,0.1536183065044847,1124.8938986272324,0.02044673582292278
occupation_finance_rate,0.07864382859497562,1096.2051122154553,0.023391347600044465
unemployed,0.14592932663834227,961.8376378288941,0.01566623180594373
education_doctoral_rate,0.06171567872197482,896.7776445870915,0.027256362760038844
occupation_information_rate,0.060947287508213564,872.9820323830721,0.021868805301170413
occupation_agriculture_rate,0.017266800491962095,779.2321435135701,0.03163344362563447
travel_time_average,0.08170958097147524,722.1102938729147,0.01784504249181218
heating_fuel_none,0.06558894183323154,706.2838462594736,0.022639449679013435
travel_time_less_than_10_rate,0.07937785450347454,675.0909024394928,0.018667766087223647
heating_fuel_electricity,0.048662658717994536,633.0266868873321,0.0174887675061699
heating_fuel_solar,0.24518592142391293,629.0748510423015,0.01320823936929827
transportation_home_rate,0.10231886350794243,595.6083741196738,0.014100906682041447
heating_fuel_other_rate,0.05375222360229623,564.7347374959822,0.013401466239973736
employ_rate,0.023754173947509154,485.87188929861054,0.013137492095131709
education_less_than_high_school_rate,0.07006235053597246,479.96753072134686,0.026721380762205316
total_area,0.03678030978785627,475.72362684909496,0.08275998105440041
household_type_family_rate,0.14720734913614597,422.3386182851668,0.018158780271773978
transportation_bicycle_rate,0.005759415863267708,390.4224942562884,0.00917051948377523
travel_time_10_19_rate,0.025657933414872398,389.30929672545204,0.019331265354802785
occupation_transportation_rate,0.035850175715676766,385.37612880878123,0.009125559681822715
transportation_motorcycle_rate,0.08075452929590032,382.02378448356905,0.011402970924678346
travel_time_60_89_rate,0.052813407959271495,321.1532758681949,0.017000653218301576
health_insurance_none_rate,0.09225203344612988,318.0038718190805,0.015599492626944933
heating_fuel_solar_rate,0.152038009733637,315.98974379736677,0.007811055627055197
cooling_design_temperature,0.13801490092752183,304.3097907608623,0.1633312191182279
travel_time_40_59_rate,0.043517235814955896,300.78436476688165,0.015075682973117122
occupancy_owner_rate,0.10844536959606944,279.10923835564284,0.0068974829397259185
occupation_construction_rate,0.023526803695179344,247.97497465070632,0.011202759455108513
travel_time_30_39_rate,0.026673801566364477,239.53920314827107,0.0062440257954499145
heating_fuel_other,0.032739873397936214,213.1673309423309,0.015795096819188892
dropout_16_19_inschool_rate,0.055639642820046575,207.40501583843903,0.009236184103637246
transportation_public_rate,0.06247775337589788,203.64734091757174,0.034118359833079204
occupation_wholesale_rate,0.03737860069747308,202.8709975870747,0.011777509664861352
age_35_44_rate,0.03418233050515865,202.78424247275532,0.009730620762115283
age_55_64_rate,0.012235691008202845,183.66831968753516,0.005351525669940571
earth_temperature_amplitude,0.0008311881647704086,175.916059525329,0.2392588919216343
population_density,0.05057409249566218,172.90724151383066,0.09430178840752124
water_area,0.016480681181285015,149.96459435838324,0.017875891300583646
gini_index,0.07744996575045028,136.70079286310732,0.007181392908874873
transportation_car_alone_rate,0.04494375823655057,129.2195849957105,0.01977764623831879
transportation_walk_rate,0.061963095971214736,119.16275141896351,0.004663157315870858
heating_fuel_fuel_oil_kerosene_rate,0.015912960182700945,112.80923163758051,0.011781213192106677
age_65_74_rate,0.02561377222947612,105.01021062759246,0.014628763607873463
occupation_arts_rate,0.01284272313530194,96.17496633251874,0.007537180507837249
age_median,0.0334718661951971,90.18498779084929,0.0066957772243481095
travel_time_20_29_rate,0.01749658077034742,86.86468395911815,0.006877107493642676
